?Order Date;Channel;SKU;Item Description;Origin;SO;Total Price;Cost;Shipping Cost;Profit
10.2.2021;eBay;N123456-139;Some Item Description 41;33377;123496;175;86;12;77
11.2.2021;Amazon;N123456-140;Some Item Description 42;24264;123497;98;47;24;27
12.2.2021;Walmart;N123456-141;Some Item Description 43;33224;123498;96;45;15;36
13.2.2021;NewEgg;N123456-142;Some Item Description 44;51022;123499;88;33;17;38
14.2.2021;Sears;N123456-143;Some Item Description 45;30758;123500;71;33;22;16
15.2.2021;eBay;N123456-144;Some Item Description 46;35146;123501;165;96;21;48
16.2.2021;Amazon;N123456-145;Some Item Description 47;53851;123502;136;70;19;47
17.2.2021;Walmart;N123456-146;Some Item Description 48;38136;123503;133;56;13;64
18.2.2021;NewEgg;N123456-147;Some Item Description 49;46648;123504;109;78;16;15
19.2.2021;Sears;N123456-148;Some Item Description 50;53514;123505;184;74;13;97
20.2.2021;eBay;N123456-149;Some Item Description 51;47768;123506;171;77;21;73
21.2.2021;Amazon;N123456-150;Some Item Description 52;29672;123507;91;44;17;30
22.2.2021;Walmart;N123456-151;Some Item Description 53;26331;123508;108;44;23;41
23.2.2021;NewEgg;N123456-152;Some Item Description 54;37845;123509;117;43;19;55
24.2.2021;Sears;N123456-153;Some Item Description 55;41366;123510;156;70;23;63
25.2.2021;eBay;N123456-154;Some Item Description 56;23193;123511;123;62;19;42
26.2.2021;Amazon;N123456-155;Some Item Description 57;29066;123512;154;63;10;81
27.2.2021;Walmart;N123456-156;Some Item Description 58;40468;123513;130;53;24;53
28.2.2021;NewEgg;N123456-157;Some Item Description 59;44479;123514;176;63;25;88
1.3.2021;Sears;N123456-158;Some Item Description 60;45693;123515;137;45;16;76
2.3.2021;eBay;N123456-159;Some Item Description 61;29276;123516;115;37;24;54
3.3.2021;Amazon;N123456-160;Some Item Description 62;36569;123517;100;42;18;40
4.3.2021;Walmart;N123456-161;Some Item Description 63;23922;123518;78;36;23;19
5.3.2021;NewEgg;N123456-162;Some Item Description 64;36693;123519;118;42;24;52
6.3.2021;Sears;N123456-163;Some Item Description 65;35681;123520;140;54;23;63
7.3.2021;eBay;N123456-164;Some Item Description 66;36513;123521;136;89;11;36
8.3.2021;Amazon;N123456-165;Some Item Description 67;40827;123522;131;45;14;72
9.3.2021;Walmart;N123456-166;Some Item Description 68;44140;123523;118;45;24;49
10.3.2021;NewEgg;N123456-167;Some Item Description 69;22951;123524;88;35;25;28
11.3.2021;Sears;N123456-168;Some Item Description 70;44460;123525;123;50;19;54
12.3.2021;eBay;N123456-169;Some Item Description 71;32268;123526;224;90;16;118
13.3.2021;Amazon;N123456-170;Some Item Description 72;42940;123527;170;88;17;65
14.3.2021;Walmart;N123456-171;Some Item Description 73;52497;123528;125;82;25;18
15.3.2021;NewEgg;N123456-172;Some Item Description 74;27510;123529;185;74;23;88
16.3.2021;Sears;N123456-173;Some Item Description 75;35443;123530;150;71;11;68
17.3.2021;eBay;N123456-174;Some Item Description 76;46493;123531;111;32;18;61
18.3.2021;Amazon;N123456-175;Some Item Description 77;41469;123532;118;49;11;58
19.3.2021;Walmart;N123456-176;Some Item Description 78;24748;123533;148;67;18;63
20.3.2021;NewEgg;N123456-177;Some Item Description 79;44623;123534;207;79;15;113
21.3.2021;Sears;N123456-178;Some Item Description 80;52483;123535;107;49;17;41
22.3.2021;eBay;N123456-179;Some Item Description 81;30252;123536;85;41;15;29
23.3.2021;Amazon;N123456-180;Some Item Description 82;49453;123537;118;50;22;46
24.3.2021;Walmart;N123456-181;Some Item Description 83;53671;123538;147;54;20;73
25.3.2021;NewEgg;N123456-182;Some Item Description 84;39745;123539;150;55;20;75
26.3.2021;Sears;N123456-183;Some Item Description 85;37364;123540;132;68;19;45
27.3.2021;eBay;N123456-184;Some Item Description 86;39183;123541;138;92;24;22
28.3.2021;Amazon;N123456-185;Some Item Description 87;51112;123542;151;75;20;56
29.3.2021;Walmart;N123456-186;Some Item Description 88;28600;123543;136;59;20;57
30.3.2021;NewEgg;N123456-187;Some Item Description 89;34878;123544;144;57;21;66
31.3.2021;Sears;N123456-188;Some Item Description 90;39491;123545;105;35;16;54
1.4.2021;eBay;N123456-189;Some Item Description 91;46303;123546;147;80;11;56
2.4.2021;Amazon;N123456-190;Some Item Description 92;43475;123547;219;100;23;96
3.4.2021;Walmart;N123456-191;Some Item Description 93;49067;123548;85;34;14;37
4.4.2021;NewEgg;N123456-192;Some Item Description 94;36629;123549;89;43;20;26
5.4.2021;Sears;N123456-193;Some Item Description 95;53395;123550;108;65;19;24
6.4.2021;eBay;N123456-194;Some Item Description 96;27479;123551;97;47;22;28
7.4.2021;Amazon;N123456-195;Some Item Description 97;48882;123552;116;60;19;37
8.4.2021;Walmart;N123456-196;Some Item Description 98;22815;123553;117;46;22;49
9.4.2021;NewEgg;N123456-197;Some Item Description 99;34030;123554;105;55;12;38
10.4.2021;Sears;N123456-198;Some Item Description 100;41644;123555;68;30;19;19
11.4.2021;eBay;N123456-199;Some Item Description 101;39147;123556;104;45;25;34
12.4.2021;Amazon;N123456-200;Some Item Description 102;32783;123557;87;31;25;31
13.4.2021;Walmart;N123456-201;Some Item Description 103;25416;123558;106;54;12;40
14.4.2021;NewEgg;N123456-202;Some Item Description 104;26596;123559;167;66;13;88
15.4.2021;Sears;N123456-203;Some Item Description 105;38187;123560;102;58;25;19
16.4.2021;eBay;N123456-204;Some Item Description 106;34656;123561;167;93;15;59
17.4.2021;Amazon;N123456-205;Some Item Description 107;54026;123562;81;46;13;22
18.4.2021;Walmart;N123456-206;Some Item Description 108;27848;123563;225;92;14;119
19.4.2021;NewEgg;N123456-207;Some Item Description 109;48015;123564;203;85;25;93
20.4.2021;Sears;N123456-208;Some Item Description 110;29656;123565;168;69;10;89
21.4.2021;eBay;N123456-209;Some Item Description 111;44510;123566;77;39;14;24
22.4.2021;Amazon;N123456-210;Some Item Description 112;37238;123567;111;60;13;38
23.4.2021;Walmart;N123456-211;Some Item Description 113;30169;123568;139;51;19;69
24.4.2021;NewEgg;N123456-212;Some Item Description 114;27723;123569;145;51;25;69
25.4.2021;Sears;N123456-213;Some Item Description 115;30805;123570;213;95;11;107
26.4.2021;eBay;N123456-214;Some Item Description 116;34849;123571;141;64;14;63
27.4.2021;Amazon;N123456-215;Some Item Description 117;40250;123572;198;81;19;98
28.4.2021;Walmart;N123456-216;Some Item Description 118;26750;123573;184;69;12;103
29.4.2021;NewEgg;N123456-217;Some Item Description 119;37950;123574;142;53;24;65
30.4.2021;Sears;N123456-218;Some Item Description 120;44620;123575;160;91;16;53
1.5.2021;eBay;N123456-219;Some Item Description 121;27013;123576;79;43;20;16
2.5.2021;Amazon;N123456-220;Some Item Description 122;36971;123577;149;63;12;74
3.5.2021;Walmart;N123456-221;Some Item Description 123;51389;123578;199;83;24;92
4.5.2021;NewEgg;N123456-222;Some Item Description 124;38195;123579;127;46;14;67
5.5.2021;Sears;N123456-223;Some Item Description 125;37898;123580;96;51;19;26
6.5.2021;eBay;N123456-224;Some Item Description 126;45978;123581;118;60;25;33
7.5.2021;Amazon;N123456-225;Some Item Description 127;50278;123582;121;70;14;37
8.5.2021;Walmart;N123456-226;Some Item Description 128;45985;123583;157;59;25;73
9.5.2021;NewEgg;N123456-227;Some Item Description 129;37209;123584;128;69;12;47
10.5.2021;Sears;N123456-228;Some Item Description 130;33861;123585;180;84;13;83
11.5.2021;eBay;N123456-229;Some Item Description 131;52145;123586;108;58;18;32
12.5.2021;Amazon;N123456-230;Some Item Description 132;22233;123587;154;93;18;43
13.5.2021;Walmart;N123456-231;Some Item Description 133;41148;123588;114;57;16;41
14.5.2021;NewEgg;N123456-232;Some Item Description 134;44779;123589;103;43;19;41
15.5.2021;Sears;N123456-233;Some Item Description 135;55390;123590;189;74;15;100
16.5.2021;eBay;N123456-234;Some Item Description 136;36546;123591;74;41;11;22
17.5.2021;Amazon;N123456-235;Some Item Description 137;34060;123592;96;39;17;40
18.5.2021;Walmart;N123456-236;Some Item Description 138;30500;123593;123;42;18;63
19.5.2021;NewEgg;N123456-237;Some Item Description 139;36605;123594;161;61;10;90
20.5.2021;Sears;N123456-238;Some Item Description 140;30865;123595;119;51;13;55
21.5.2021;eBay;N123456-239;Some Item Description 141;46868;123596;90;56;11;23
22.5.2021;Amazon;N123456-240;Some Item Description 142;47874;123597;105;44;10;51
23.5.2021;Walmart;N123456-241;Some Item Description 143;32692;123598;84;36;16;32
24.5.2021;NewEgg;N123456-242;Some Item Description 144;23489;123599;163;62;14;87
25.5.2021;Sears;N123456-243;Some Item Description 145;43483;123600;158;64;15;79
26.5.2021;eBay;N123456-244;Some Item Description 146;30237;123601;76;39;17;20
27.5.2021;Amazon;N123456-245;Some Item Description 147;54399;123602;188;83;17;88
28.5.2021;Walmart;N123456-246;Some Item Description 148;53497;123603;150;68;16;66
29.5.2021;NewEgg;N123456-247;Some Item Description 149;38293;123604;153;77;20;56
30.5.2021;Sears;N123456-248;Some Item Description 150;48970;123605;144;74;21;49
31.5.2021;eBay;N123456-249;Some Item Description 151;49640;123606;121;68;14;39
1.6.2021;Amazon;N123456-250;Some Item Description 152;33181;123607;74;33;18;23
2.6.2021;Walmart;N123456-251;Some Item Description 153;43815;123608;146;91;20;35
3.6.2021;NewEgg;N123456-252;Some Item Description 154;30944;123609;219;98;22;99
4.6.2021;Sears;N123456-253;Some Item Description 155;29030;123610;118;76;16;26
5.6.2021;eBay;N123456-254;Some Item Description 156;26461;123611;138;66;13;59
6.6.2021;Amazon;N123456-255;Some Item Description 157;31646;123612;97;38;20;39
7.6.2021;Walmart;N123456-256;Some Item Description 158;42355;123613;138;69;12;57
8.6.2021;NewEgg;N123456-257;Some Item Description 159;49447;123614;124;83;19;22
9.6.2021;Sears;N123456-258;Some Item Description 160;40728;123615;103;36;19;48
10.6.2021;eBay;N123456-259;Some Item Description 161;49960;123616;68;32;19;17
11.6.2021;Amazon;N123456-260;Some Item Description 162;48828;123617;137;88;13;36
12.6.2021;Walmart;N123456-261;Some Item Description 163;35103;123618;73;33;11;29
13.6.2021;NewEgg;N123456-262;Some Item Description 164;37041;123619;119;70;17;32
14.6.2021;Sears;N123456-263;Some Item Description 165;35486;123620;148;86;24;38
15.6.2021;eBay;N123456-264;Some Item Description 166;44674;123621;153;93;19;41
16.6.2021;Amazon;N123456-265;Some Item Description 167;22673;123622;121;40;21;60
17.6.2021;Walmart;N123456-266;Some Item Description 168;34413;123623;124;87;14;23
18.6.2021;NewEgg;N123456-267;Some Item Description 169;32812;123624;144;58;14;72
19.6.2021;Sears;N123456-268;Some Item Description 170;24498;123625;127;73;19;35
20.6.2021;eBay;N123456-269;Some Item Description 171;49833;123626;206;87;11;108
21.6.2021;Amazon;N123456-270;Some Item Description 172;24001;123627;154;68;12;74
22.6.2021;Walmart;N123456-271;Some Item Description 173;36742;123628;75;47;11;17
23.6.2021;NewEgg;N123456-272;Some Item Description 174;30155;123629;151;58;21;72
24.6.2021;Sears;N123456-273;Some Item Description 175;40464;123630;245;100;22;123
25.6.2021;eBay;N123456-274;Some Item Description 176;47099;123631;217;99;17;101
26.6.2021;Amazon;N123456-275;Some Item Description 177;48001;123632;92;47;22;23
27.6.2021;Walmart;N123456-276;Some Item Description 178;24125;123633;120;82;23;15
28.6.2021;NewEgg;N123456-277;Some Item Description 179;25841;123634;211;86;14;111
29.6.2021;Sears;N123456-278;Some Item Description 180;33282;123635;125;41;12;72
30.6.2021;eBay;N123456-279;Some Item Description 181;27572;123636;129;43;25;61
1.7.2021;Amazon;N123456-280;Some Item Description 182;45586;123637;72;33;15;24
2.7.2021;Walmart;N123456-281;Some Item Description 183;28868;123638;143;60;10;73
3.7.2021;NewEgg;N123456-282;Some Item Description 184;25878;123639;197;79;24;94
4.7.2021;Sears;N123456-283;Some Item Description 185;27594;123640;151;59;21;71
5.7.2021;eBay;N123456-284;Some Item Description 186;29829;123641;109;66;15;28
6.7.2021;Amazon;N123456-285;Some Item Description 187;46720;123642;225;100;20;105
7.7.2021;Walmart;N123456-286;Some Item Description 188;45373;123643;210;96;19;95
8.7.2021;NewEgg;N123456-287;Some Item Description 189;42388;123644;110;41;13;56
9.7.2021;Sears;N123456-288;Some Item Description 190;49368;123645;168;65;21;82
10.7.2021;eBay;N123456-289;Some Item Description 191;54917;123646;193;98;24;71
11.7.2021;Amazon;N123456-290;Some Item Description 192;34023;123647;88;37;17;34
12.7.2021;Walmart;N123456-291;Some Item Description 193;42453;123648;73;38;17;18
13.7.2021;NewEgg;N123456-292;Some Item Description 194;44266;123649;227;94;24;109
14.7.2021;Sears;N123456-293;Some Item Description 195;45891;123650;175;78;19;78
15.7.2021;eBay;N123456-294;Some Item Description 196;40251;123651;178;72;13;93
16.7.2021;Amazon;N123456-295;Some Item Description 197;25500;123652;102;44;25;33
17.7.2021;Walmart;N123456-296;Some Item Description 198;29119;123653;141;74;11;56
18.7.2021;NewEgg;N123456-297;Some Item Description 199;42507;123654;96;51;14;31
19.7.2021;Sears;N123456-298;Some Item Description 200;35898;123655;85;54;16;15
20.7.2021;eBay;N123456-299;Some Item Description 201;52739;123656;101;44;11;46
21.7.2021;Amazon;N123456-300;Some Item Description 202;48404;123657;128;59;23;46
22.7.2021;Walmart;N123456-301;Some Item Description 203;38966;123658;82;37;21;24
23.7.2021;NewEgg;N123456-302;Some Item Description 204;44173;123659;95;36;22;37
24.7.2021;Sears;N123456-303;Some Item Description 205;34793;123660;164;66;13;85
25.7.2021;eBay;N123456-304;Some Item Description 206;33060;123661;89;49;12;28
26.7.2021;Amazon;N123456-305;Some Item Description 207;28848;123662;136;60;23;53
27.7.2021;Walmart;N123456-306;Some Item Description 208;24840;123663;94;49;25;20
28.7.2021;NewEgg;N123456-307;Some Item Description 209;30032;123664;139;83;11;45
29.7.2021;Sears;N123456-308;Some Item Description 210;49190;123665;130;91;16;23
30.7.2021;eBay;N123456-309;Some Item Description 211;40446;123666;93;32;10;51
31.7.2021;Amazon;N123456-310;Some Item Description 212;34431;123667;135;68;15;52
1.8.2021;Walmart;N123456-311;Some Item Description 213;31469;123668;212;100;21;91
2.8.2021;NewEgg;N123456-312;Some Item Description 214;35669;123669;115;68;10;37
3.8.2021;Sears;N123456-313;Some Item Description 215;45409;123670;136;66;14;56
4.8.2021;eBay;N123456-314;Some Item Description 216;37954;123671;92;31;11;50
5.8.2021;Amazon;N123456-315;Some Item Description 217;48799;123672;78;40;23;15
6.8.2021;Walmart;N123456-316;Some Item Description 218;34865;123673;188;90;23;75
7.8.2021;NewEgg;N123456-317;Some Item Description 219;30556;123674;90;34;21;35
8.8.2021;Sears;N123456-318;Some Item Description 220;54580;123675;194;93;20;81
9.8.2021;eBay;N123456-319;Some Item Description 221;41977;123676;166;68;19;79
10.8.2021;Amazon;N123456-320;Some Item Description 222;28215;123677;143;65;12;66
11.8.2021;Walmart;N123456-321;Some Item Description 223;49530;123678;92;52;14;26
12.8.2021;NewEgg;N123456-322;Some Item Description 224;51283;123679;151;72;15;64
13.8.2021;Sears;N123456-323;Some Item Description 225;27982;123680;153;82;23;48
14.8.2021;eBay;N123456-324;Some Item Description 226;29213;123681;157;100;18;39
15.8.2021;Amazon;N123456-325;Some Item Description 227;46092;123682;108;43;18;47
16.8.2021;Walmart;N123456-326;Some Item Description 228;23802;123683;165;84;18;63
17.8.2021;NewEgg;N123456-327;Some Item Description 229;48259;123684;162;74;15;73
18.8.2021;Sears;N123456-328;Some Item Description 230;26940;123685;135;59;20;56
19.8.2021;eBay;N123456-329;Some Item Description 231;23213;123686;58;33;10;15
20.8.2021;Amazon;N123456-330;Some Item Description 232;28740;123687;88;32;11;45
21.8.2021;Walmart;N123456-331;Some Item Description 233;32589;123688;156;53;10;93
22.8.2021;NewEgg;N123456-332;Some Item Description 234;50874;123689;99;42;21;36
23.8.2021;Sears;N123456-333;Some Item Description 235;54855;123690;90;56;14;20
24.8.2021;eBay;N123456-334;Some Item Description 236;49877;123691;180;89;18;73
25.8.2021;Amazon;N123456-335;Some Item Description 237;25102;123692;174;84;25;65
26.8.2021;Walmart;N123456-336;Some Item Description 238;53764;123693;70;30;14;26
27.8.2021;NewEgg;N123456-337;Some Item Description 239;43856;123694;108;60;21;27
28.8.2021;Sears;N123456-338;Some Item Description 240;26846;123695;100;42;20;38
29.8.2021;eBay;N123456-339;Some Item Description 241;34731;123696;115;36;22;57
30.8.2021;Amazon;N123456-340;Some Item Description 242;26503;123697;71;35;12;24
31.8.2021;Walmart;N123456-341;Some Item Description 243;25214;123698;161;69;12;80
1.9.2021;NewEgg;N123456-342;Some Item Description 244;38771;123699;148;98;23;27
2.9.2021;Sears;N123456-343;Some Item Description 245;23441;123700;118;50;14;54
3.9.2021;eBay;N123456-344;Some Item Description 246;43499;123701;150;56;24;70
4.9.2021;Amazon;N123456-345;Some Item Description 247;36780;123702;192;85;19;88
5.9.2021;Walmart;N123456-346;Some Item Description 248;29571;123703;156;91;20;45
6.9.2021;NewEgg;N123456-347;Some Item Description 249;39405;123704;114;73;13;28
7.9.2021;Sears;N123456-348;Some Item Description 250;39271;123705;197;74;24;99
8.9.2021;eBay;N123456-349;Some Item Description 251;26638;123706;193;85;12;96
9.9.2021;Amazon;N123456-350;Some Item Description 252;46791;123707;147;86;23;38
10.9.2021;Walmart;N123456-351;Some Item Description 253;40568;123708;96;40;21;35
11.9.2021;NewEgg;N123456-352;Some Item Description 254;33014;123709;187;99;16;72
12.9.2021;Sears;N123456-353;Some Item Description 255;31526;123710;218;87;14;117
13.9.2021;eBay;N123456-354;Some Item Description 256;52277;123711;129;59;23;47
14.9.2021;Amazon;N123456-355;Some Item Description 257;30822;123712;102;36;13;53
15.9.2021;Walmart;N123456-356;Some Item Description 258;45382;123713;89;33;18;38
16.9.2021;NewEgg;N123456-357;Some Item Description 259;48161;123714;113;83;15;15
17.9.2021;Sears;N123456-358;Some Item Description 260;50346;123715;76;38;23;15
18.9.2021;eBay;N123456-359;Some Item Description 261;37173;123716;198;95;24;79
19.9.2021;Amazon;N123456-360;Some Item Description 262;53675;123717;90;41;11;38
20.9.2021;Walmart;N123456-361;Some Item Description 263;53119;123718;182;100;14;68
21.9.2021;NewEgg;N123456-362;Some Item Description 264;33523;123719;82;41;25;16
22.9.2021;Sears;N123456-363;Some Item Description 265;51622;123720;216;98;25;93
23.9.2021;eBay;N123456-364;Some Item Description 266;28361;123721;115;69;23;23
24.9.2021;Amazon;N123456-365;Some Item Description 267;49402;123722;131;59;24;48
25.9.2021;Walmart;N123456-366;Some Item Description 268;42065;123723;87;54;16;17
26.9.2021;NewEgg;N123456-367;Some Item Description 269;37034;123724;166;92;24;50
27.9.2021;Sears;N123456-368;Some Item Description 270;54909;123725;129;62;10;57
28.9.2021;eBay;N123456-369;Some Item Description 271;40890;123726;174;99;21;54
29.9.2021;Amazon;N123456-370;Some Item Description 272;46803;123727;135;66;16;53
30.9.2021;Walmart;N123456-371;Some Item Description 273;49761;123728;219;88;21;110
1.10.2021;NewEgg;N123456-372;Some Item Description 274;25262;123729;119;39;23;57
2.10.2021;Sears;N123456-373;Some Item Description 275;41943;123730;134;45;13;76
3.10.2021;eBay;N123456-374;Some Item Description 276;32698;123731;71;34;21;16
4.10.2021;Amazon;N123456-375;Some Item Description 277;54407;123732;97;51;23;23
5.10.2021;Walmart;N123456-376;Some Item Description 278;37311;123733;197;93;18;86
6.10.2021;NewEgg;N123456-377;Some Item Description 279;27948;123734;173;63;15;95
7.10.2021;Sears;N123456-378;Some Item Description 280;38539;123735;159;57;15;87
8.10.2021;eBay;N123456-379;Some Item Description 281;43680;123736;131;98;14;19
9.10.2021;Amazon;N123456-380;Some Item Description 282;47080;123737;147;56;25;66
10.10.2021;Walmart;N123456-381;Some Item Description 283;30840;123738;84;35;16;33
11.10.2021;NewEgg;N123456-382;Some Item Description 284;26439;123739;89;31;24;34
12.10.2021;Sears;N123456-383;Some Item Description 285;22970;123740;109;65;10;34
13.10.2021;eBay;N123456-384;Some Item Description 286;35833;123741;84;32;19;33
14.10.2021;Amazon;N123456-385;Some Item Description 287;37760;123742;161;65;19;77
15.10.2021;Walmart;N123456-386;Some Item Description 288;50334;123743;232;99;10;123
16.10.2021;NewEgg;N123456-387;Some Item Description 289;48376;123744;105;48;10;47
17.10.2021;Sears;N123456-388;Some Item Description 290;45513;123745;119;36;13;70
18.10.2021;eBay;N123456-389;Some Item Description 291;44826;123746;112;53;11;48
19.10.2021;Amazon;N123456-390;Some Item Description 292;25854;123747;159;67;17;75
20.10.2021;Walmart;N123456-391;Some Item Description 293;22835;123748;144;67;11;66
21.10.2021;NewEgg;N123456-392;Some Item Description 294;25889;123749;149;93;10;46
22.10.2021;Sears;N123456-393;Some Item Description 295;34100;123750;157;70;12;75
23.10.2021;eBay;N123456-394;Some Item Description 296;22764;123751;97;51;16;30
24.10.2021;Amazon;N123456-395;Some Item Description 297;30097;123752;116;49;24;43
25.10.2021;Walmart;N123456-396;Some Item Description 298;30561;123753;80;31;22;27
26.10.2021;NewEgg;N123456-397;Some Item Description 299;54096;123754;129;43;20;66
27.10.2021;Sears;N123456-398;Some Item Description 300;49762;123755;131;59;11;61
28.10.2021;eBay;N123456-399;Some Item Description 301;47505;123756;238;99;25;114
29.10.2021;Amazon;N123456-400;Some Item Description 302;35476;123757;81;48;13;20
30.10.2021;Walmart;N123456-401;Some Item Description 303;24064;123758;113;78;18;17
31.10.2021;NewEgg;N123456-402;Some Item Description 304;44899;123759;124;68;22;34
1.11.2021;Sears;N123456-403;Some Item Description 305;33216;123760;139;64;19;56
2.11.2021;eBay;N123456-404;Some Item Description 306;47057;123761;170;84;13;73
3.11.2021;Amazon;N123456-405;Some Item Description 307;44140;123762;137;83;12;42
4.11.2021;Walmart;N123456-406;Some Item Description 308;24570;123763;176;88;14;74
5.11.2021;NewEgg;N123456-407;Some Item Description 309;30618;123764;231;95;12;124
6.11.2021;Sears;N123456-408;Some Item Description 310;43747;123765;111;38;21;52
7.11.2021;eBay;N123456-409;Some Item Description 311;50384;123766;90;33;14;43
8.11.2021;Amazon;N123456-410;Some Item Description 312;27131;123767;176;98;11;67
9.11.2021;Walmart;N123456-411;Some Item Description 313;39810;123768;101;46;11;44
10.11.2021;NewEgg;N123456-412;Some Item Description 314;40330;123769;112;31;10;71
11.11.2021;Sears;N123456-413;Some Item Description 315;38695;123770;140;89;21;30
12.11.2021;eBay;N123456-414;Some Item Description 316;29956;123771;108;33;12;63
13.11.2021;Amazon;N123456-415;Some Item Description 317;39839;123772;70;30;14;26
14.11.2021;Walmart;N123456-416;Some Item Description 318;53922;123773;140;46;20;74
15.11.2021;NewEgg;N123456-417;Some Item Description 319;51375;123774;101;65;18;18
16.11.2021;Sears;N123456-418;Some Item Description 320;34435;123775;147;99;17;31
17.11.2021;eBay;N123456-419;Some Item Description 321;22433;123776;127;57;20;50
18.11.2021;Amazon;N123456-420;Some Item Description 322;33146;123777;120;82;13;25
19.11.2021;Walmart;N123456-421;Some Item Description 323;41108;123778;161;87;24;50
20.11.2021;NewEgg;N123456-422;Some Item Description 324;30126;123779;81;42;20;19
21.11.2021;Sears;N123456-423;Some Item Description 325;28557;123780;165;65;14;86
22.11.2021;eBay;N123456-424;Some Item Description 326;39752;123781;149;66;24;59
23.11.2021;Amazon;N123456-425;Some Item Description 327;28753;123782;129;54;25;50
24.11.2021;Walmart;N123456-426;Some Item Description 328;45890;123783;174;84;25;65
25.11.2021;NewEgg;N123456-427;Some Item Description 329;49921;123784;96;62;12;22
26.11.2021;Sears;N123456-428;Some Item Description 330;44118;123785;125;77;21;27
27.11.2021;eBay;N123456-429;Some Item Description 331;43884;123786;132;62;20;50
28.11.2021;Amazon;N123456-430;Some Item Description 332;27215;123787;130;45;13;72
29.11.2021;Walmart;N123456-431;Some Item Description 333;53292;123788;89;49;23;17
30.11.2021;NewEgg;N123456-432;Some Item Description 334;38034;123789;107;31;17;59
1.12.2021;Sears;N123456-433;Some Item Description 335;30395;123790;160;88;24;48
2.12.2021;eBay;N123456-434;Some Item Description 336;40484;123791;111;31;21;59
3.12.2021;Amazon;N123456-435;Some Item Description 337;49680;123792;225;94;19;112
4.12.2021;Walmart;N123456-436;Some Item Description 338;55224;123793;150;52;23;75
5.12.2021;NewEgg;N123456-437;Some Item Description 339;44605;123794;117;72;14;31
6.12.2021;Sears;N123456-438;Some Item Description 340;24857;123795;168;81;20;67
